자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
1321. 국민은행 종암동지점 앞,무인대여소,서울특별시 성북구 종암로3길 37-2,,37.5928572,127.0338558,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1320. LG베스트샵 종암점,무인대여소,서울특별시 성북구 종암로 88,,37.5981881,127.0350814,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1318. 길음역 3번 출구 뒤,무인대여소,서울특별시 성북구 동소문로 248,,37.60318391,127.0248232,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1316. 고려사대부속중고 건너편,무인대여소,서울특별시 성북구 보국문로29길 23,,37.6163068,127.0026096,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),20,20,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1315. 고려사대부속중고 정문,무인대여소,서울특별시 성북구 보국문로29길 23,,37.6163068,127.0026096,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1314. 정릉꿈에그린1단지 201동 앞,무인대여소,서울특별시 성북구 아리랑로19길 20,,37.6026039,127.0122803,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),8,8,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1313. 정릉교회 앞,무인대여소,서울특별시 성북구 정릉로27가길 28-2,,37.6066223,127.012665,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1308. 안암로터리 버스정류장 앞,무인대여소,"서울특별시 성북구 안암로 69, 안암로터리 버스정류장",,37.58247223,127.028915,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),18,18,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1306. 한성대입구역 2번 출구,무인대여소,서울특별시 성북구 동소문로 2,,37.5884228,127.0067712,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1305. 성북구청,무인대여소,"서울특별시 성북구 보문로 168, 성북구청",,37.589466,127.0168479,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1304. 만해공원,무인대여소,"서울특별시 성북구 성북로 132-1, 만해공원",,37.594616,126.9950314,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1303. 돈암초교 입구,무인대여소,"서울특별시 성북구 동소문로13길 38, 돈암초교",,37.593716,127.0131031,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
1302. 한성대입구역 6번출구 뒤,무인대여소,"서울특별시 성북구 동소문로 1, 한성대입구역 6번출구 뒤",,37.5887998,127.006336,0:00,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),5,5,N,수동식,N,1599-0120,서울특별시청,2025-12-23,3070000,서울특별시 성북구
성산마을,무인대여소,경상남도 거창군 거창읍 가지리 산 1857,경상남도 거창군 거창읍 가지리 1857,35.69340501,127.899122,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,6,10,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
승강기산업복합관,무인대여소,경상남도 거창군 남상면 승강기단지길 154,경상남도 거창군 남상면 대산리 2421,35.65332826,127.922704,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,2,13,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
건계정,무인대여소,경상남도 거창군 거창읍 송정리 산 136,경상남도 거창군 거창읍 송정리 산 136,35.68907373,127.884585,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,4,7,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
거창창포원,무인대여소,경상남도 거창군 남상면 창포원길 21-1,경상남도 거창군 남상면 월평리 2286-1,35.65495682,127.9398302,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,7,10,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
농업기술센터,무인대여소,경상남도 거창군 거창읍 거함대로 3322,경상남도 거창군 거창읍 대평리 1359-19,35.67800721,127.9230338,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,3,5,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
거창보건소,무인대여소,경상남도 거창군 거창읍 거함대로 3079,경상남도 거창군 거창읍 송정리 1095,35.6809354,127.8987277,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
한국전력,무인대여소,경상남도 거창군 거창읍 강남로 246,경상남도 거창군 거창읍 대평리 1005-40,35.68699881,127.9237166,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
거창스포츠파크,무인대여소,경상남도 거창군 거창읍 심소정길 39-36,경상남도 거창군 거창읍 양평리 1160,35.69513581,127.9263505,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
소만2지구어린이 공원,무인대여소,경상남도 거창군 거창읍 소만4길 7,경상남도 거창군 거창읍 대동리 993-3,35.69341766,127.9226094,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
청소년수련원,무인대여소,경상남도 거창군 거창읍 교촌길 100-30,경상남도 거창군 거창읍 가지리 256,35.69278028,127.9064203,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
베어스 타운,무인대여소,경상남도 거창군 거창읍 동동6길 99,경상남도 거창군 거창읍 대동리 13-31,35.69083686,127.9247125,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,10,15,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
화목 아파트,무인대여소,경상남도 거창군 거창읍 거열로 2길 34-9,경상남도 거창군 거창읍 대동리 600-1,35.69275529,127.9149172,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,5,10,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
승강기 대학,무인대여소,경상남도 거창군 거창읍 운정1길 120,경상남도 거창군 거창읍 송정리 700,35.67570975,127.8959636,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,9,14,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
도립 거창대학,무인대여소,경상남도 거창군 거창읍 거창대학로 72,경상남도 거창군 거창읍 대평리 1396,35.67320256,127.9124187,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,9,14,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
창남교회 옆,무인대여소,경상남도 거창군 거창읍 수남로 2274,경상남도 거창군 거창읍 김천리 102-5,35.6818238,127.9125946,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,5,10,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
농협대동지점 주차장,무인대여소,경상남도 거창군 거창읍 중앙로 185,경상남도 거창군 거창읍 대동리 46-2,35.68845437,127.9183277,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,6,12,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
거창공설시장 주차장,무인대여소,경상남도 거창군 거창읍 시장길 64,경상남도 거창군 거창읍 중앙리 150-3,35.68634654,127.9141707,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,3,6,N,기타,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
상림리 책읽는 공원,무인대여소,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 362,35.69032647,127.9040224,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,19,26,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
거창군청,무인대여소,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,0:00,23:59,연중무휴,유료,1일권 1천원+정기권 1개월 3천원+정기권 1년 2만원,12,18,Y,기계식,N,055-940-3594,경상남도 거창군청,2025-12-01,5470000,경상남도 거창군
총무공동 공영자전거 무료대여소,유인대여소,경상남도 진주시 남강남쪽자전거길 948,경상남도 진주시 충무공동 44,35.17162148,128.1299288,9:00,17:00,1월 1일+설 당일+설 연휴+추석 당일+추석 연휴,무료,,76,10,Y,수동식,N,055-749-8661,경상남도 진주시청,2025-12-19,5310000,경상남도 진주시
칠암동 공영자전거 무료대여소,유인대여소,경상남도 진주시 강남로 188,경상남도 진주시 칠암동 1,35.18495403,128.0948407,9:00,17:00,1월 1일+설 당일+설 연휴+추석 당일+추석 연휴,무료,,70,10,Y,수동식,N,055-749-8661,경상남도 진주시청,2025-12-19,5310000,경상남도 진주시
평거동 공영자전거무료대여소,유인대여소,경상남도 진주시 남강로373번길 3,경상남도 진주시 평거동 794-2,35.17216664,128.0678765,9:00,17:00,1월 1일+설 당일+설 연휴+추석 당일+추석 연휴,무료,,70,10,Y,수동식,N,055-749-8661,경상남도 진주시청,2025-12-19,5310000,경상남도 진주시
상대동 공영자전거무료대여소,유인대여소,경상남도 진주시 상대로72번길 6,경상남도 진주시 상대동 329-1,35.1840409,128.1196741,9:00,17:00,1월 1일+설 당일+설 연휴+추석 당일+추석 연휴,무료,,70,10,Y,수동식,N,055-749-8661,경상남도 진주시청,2025-12-19,5310000,경상남도 진주시
영신유원지 자전거 무료 대여소,무인대여소,,경상북도 문경시 흥덕동 188-1,36.5951581,128.2089702,10:00,17:00,화+금,무료,무료,50,0,Y,,N,054-550-8841,점촌3동행정복지센터,2025-12-29,5120000,경상북도 문경시
금강하구둑 자전거대여소,유인대여소,충청남도 서천군 마서면 장산로 916,충청남도 서천군 마서면 도삼리 59,36.02280046,126.7426918,9:00,18:00,월,무료,,80,30,Y,수동식,N,041-950-4164,충청남도 서천군청,2025-12-22,4580000,충청남도 서천군
자전거대여소(화성행궁),유인대여소,,경기도 수원시 팔달구 남창동 13-1,37.2813489,127.0152566,10:00,18:00,"하절기, 동절기",유료,1일 1천원,73,,Y,수동식,N,031-5191-2242,경기도 수원시청,2026-01-26,3740000,경기도 수원시
광교산공영자전거대여소(버스종점),유인대여소,,경기도 수원시 장안구 상광교동   42-1,37.33454984,127.0174003,10:00,18:00,"하절기, 동절기",유료,1일 1천원,70,,Y,수동식,N,031-5191-2242,경기도 수원시청,2026-01-26,3740000,경기도 수원시
광교산공영자전거대여소(반딧불이쉼터),유인대여소,경기도 수원시 장안구 광교산로 166,경기도 수원시 장안구 하광교동 산 57-2,37.30183304,127.0323388,10:00,18:00,"하절기, 동절기",유료,1일 1천원,72,,Y,수동식,N,031-5191-2242,경기도 수원시청,2026-01-26,3740000,경기도 수원시
남천동 공영자전거 무료대여소,유인대여소,,부산광역시 수영구 남천동 148-6,35.14598922,129.1166699,10:00,19:00,"명절, 선거일",무료,,49,1,Y,태양광식,N,051-610-4556,부산광역시 수영구,2025-12-18,3380000,부산광역시 수영구
온천천시민공원 자전거대여소,유인대여소,부산광역시 연제구 온천천공원길 74,,35.19288252,129.089627,9:00,17:00,1월 1일+설 당일+추석 당일,무료,없음,45,,Y,수동식,N,051-665-4982,부산광역시 연제구청,2025-11-08,3370000,부산광역시 연제구
서초구(방배역) 무료자전거대여소,유인대여소,,서울특별시 서초구 방배동 984-5,37.48129801,126.9979904,8:00,19:00,법정공휴일(금~일 운영시간은 10-17시),무료,,10,,Y,기계식,Y,02-2155-7186,서울특별시 서초구청,2025-12-23,3210000,서울특별시 서초구
풍덕동 주민센터,무인대여소,,전라남도 순천시 풍덕동 130-3,34.92758653,127.5136187,0:00,23:59,연중무휴,유료,일일이용 : 1000원,6,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천대학교 후문,무인대여소,,전라남도 순천시 매곡동 416,34.96551382,127.4835987,0:00,23:59,연중무휴,유료,일일이용 : 1000원,8,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천대학교 정문,무인대여소,,전라남도 순천시 매곡동 546,34.96101991,127.4761808,0:00,23:59,연중무휴,유료,일일이용 : 1000원,12,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
연향동 국민은행 앞,무인대여소,,전라남도 순천시 연향동 1329-5,34.95314462,127.5208259,0:00,23:59,연중무휴,유료,일일이용 : 1000원,8,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
연향동 홈플러스,무인대여소,,전라남도 순천시 연향동 1485,34.94749284,127.5237161,0:00,23:59,연중무휴,유료,일일이용 : 1000원,10,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
조례호수공원,무인대여소,,전라남도 순천시 조례동 417,34.95628289,127.5234246,0:00,23:59,연중무휴,유료,일일이용 : 1000원,8,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천시청,무인대여소,전라남도 순천시 장천동 장명로 30,,34.95018687,127.4873733,0:00,23:59,연중무휴,유료,일일이용 : 1000원,10,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천만생태공원 주차장,무인대여소,,전라남도 순천시 대대동 162-2,34.88579496,127.5092804,0:00,23:59,연중무휴,유료,일일이용 : 1000원,12,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천만국가정원 서문,무인대여소,,전라남도 순천시 오천동 195,34.92469945,127.5040805,0:00,23:59,연중무휴,유료,일일이용 : 1000원,15,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천만국가정원 동문,무인대여소,,전라남도 순천시 오천동 600,34.92888669,127.4999574,0:00,23:59,연중무휴,유료,일일이용 : 1000원,15,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
시외버스터미널,무인대여소,,전라남도 순천시 연향동 1493,34.94597809,127.5231556,0:00,23:59,연중무휴,유료,일일이용 : 1000원,10,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
순천역(광장),무인대여소,,전라남도 순천시 장천동 18-2,34.94853687,127.4915986,0:00,23:59,연중무휴,유료,일일이용 : 1000원,12,15,Y,수동식,N,061-749-4883,전라남도 순천시청 교통정책과,2025-09-03,5790000,전남광주통합특별시 순천시
국립어린이박물관,무인대여소,,세종특별자치시 세종동 107-112,36.48971455,127.2728448,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
조치원 국립농산물품질관리원,무인대여소,,세종특별자치시 조치원읍 봉산리 387,36.60195698,127.2829701,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
반곡동 더건강한약국 앞,무인대여소,,세종특별자치시 반곡동 845 메인타워 1층,36.4913255,127.3036238,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
반곡동 조세재정연구원 인근,무인대여소,,세종특별자치시 반곡동 834 한국조세재정연구원,36.4928953,127.3020648,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"소담동 한누리대로 2016, 타임빌딩 앞",무인대여소,,세종특별자치시 소담동 541,36.48502889,127.2996476,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
해밀동 라포르테 112동 앞,무인대여소,,세종특별자치시 해밀동 라포르테 112동,36.526104,127.273046,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
아름동 범지기마을 11단지 인근,무인대여소,,세종특별자치시 아름동 1363,36.51116829,127.2516749,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
다정동 가온마을 1102단지 인근,무인대여소,,세종특별자치시 다정동 970 1층 메리봉봉,36.4924166,127.2548364,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
다정동 명품한우타운 인근,무인대여소,,세종특별자치시 다정동 695,36.4987345,127.2356416,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
새롬동 해피라움W인근,무인대여소,,세종특별자치시 새롬동 579,36.48689599,127.2511737,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"보람동 759, 강남제일타워 인근",무인대여소,,세종특별자치시 보람동 759,36.47724156,127.2896956,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
한솔동 참샘초등학교 인근,무인대여소,,세종특별자치시 한솔동 952,36.47948508,127.2593707,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
고운동 가락마을 5단지 앞,무인대여소,,세종특별자치시 고운동 가락마을 5단지 앞,36.5060258,127.2384178,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
아름동 범지기마을3단지 311동 앞,무인대여소,,세종특별자치시 아름동 범지기마을 311동,36.5186154,127.2450965,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"다정동 898, 오돈오리불고기 인근",무인대여소,,세종특별자치시 다정동 898 1층,36.4962431,127.2379262,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
산울동 산울마을 218동 인근,무인대여소,,세종특별자치시 산울동 259,36.53221646,127.2585121,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
조치원읍 엘리프세종아파트 111동 앞,무인대여소,,세종특별자치시 조치원읍 봉산리 372 엘리프세종아파트,36.602643,127.279915,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
조치원읍 엘리프세종아파트 104동 앞,무인대여소,,세종특별자치시 조치원읍 봉산리 372 엘리프세종아파트,36.6028354,127.2823574,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
공동캠퍼스 BRT 옆,무인대여소,,세종특별자치시 집현동 650-2,36.50185023,127.3341575,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"해밀동_해밀3로 32, 해밀마을1단지 110동 인근",무인대여소,,세종특별자치시 해밀동 649,36.5251848,127.2626965,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"새롬동_새롬북로14,새뜸마을 3단지 309동 앞",무인대여소,,세종특별자치시 새롬동 597,36.48527698,127.2469666,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"산울동_산울7로, 706동 앞",무인대여소,,세종특별자치시 산울동 152-1 산울마을7단지,36.5323189,127.2651856,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
다정동_LH희망상가(청년세종센터),무인대여소,,세종특별자치시 다정동 965 2층 세종시청년센터,36.4932814,127.2494129,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
도담동_도램마을3단지 305동 앞,무인대여소,,세종특별자치시 도담동 683,36.51457915,127.2560802,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
소담동_한국전력공사 정문,무인대여소,,세종특별자치시 소담동 585,36.48203057,127.3063595,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
고운동_가락마을8단지 804동 앞,무인대여소,,세종특별자치시 고운동 1706,36.50569802,127.2407533,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"집현동_집현로77, 대왕마트 앞",무인대여소,,세종특별자치시 집현동 1129,36.49103308,127.3252816,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
세종이음학교 입구,무인대여소,,세종특별자치시 집현동 931-9,36.5001424,127.3354779,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
"산울동_산울마을 7단지,712동 앞",무인대여소,,세종특별자치시 산울동 152-1 산울마을7단지,36.530347,127.265435,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 체육관 서측,무인대여소,,세종특별자치시 집현동 산 16,36.50351326,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 학생회관 북동측,무인대여소,,세종특별자치시 집현동 산 16,36.50351326,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 학생회관 동측,무인대여소,,세종특별자치시 집현동 산 16,36.50351326,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 충남대,무인대여소,,세종특별자치시 집현동 산 16,36.50351326,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 충북대,무인대여소,,세종특별자치시 집현동 산 16,36.50351326,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동_세종공동캠퍼스 한밭대,무인대여소,,세종특별자치시 집현동 산 16,36.5035892,127.3337602,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
어진동_ 어진중학교 정문앞,무인대여소,,세종특별자치시 어진동 678,36.49820157,127.2548143,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
가람동_LH 품질시험인정센터 정문,무인대여소,,세종특별자치시 가람동 964,36.46871,127.240116,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
나성동_신한은행 앞,무인대여소,,세종특별자치시 나성동 711,36.4836299,127.2594012,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
산울동_ 세종파밀리에더파크 정문,무인대여소,,세종특별자치시 산울동  308-2,36.53153128,127.2608668,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
도담동_양지중학교 맞은편,무인대여소,,세종특별자치시 도담동 858 도램마을14단지,36.50886,127.2676608,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
반곡동_수루배마을 4단지 정문 맞은편,무인대여소,,세종특별자치시 반곡동 59-43,36.5014876,127.313916,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
집현동 _하나은행 앞,무인대여소,,세종특별자치시 집현동 1162,36.49913477,127.3313897,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
어진동_어진뜰 근린공원 사거리,무인대여소,,세종특별자치시 어진동 598,36.49793339,127.2621185,0:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2025-06-25,5690000,세종특별자치시
